num_workers,execution_time,num_files_searched,searched_string,with_sucuri
1,0.25919270515441895,1,happy,True
1,0.25591588020324707,5,happy,True
1,0.2682347297668457,10,happy,True
5,0.3092966079711914,1,happy,True
5,0.37844038009643555,5,happy,True
5,0.4257183074951172,10,happy,True
15,0.4262874126434326,1,happy,True
15,0.530778169631958,5,happy,True
15,0.7162487506866455,10,happy,True
20,0.5194706916809082,1,happy,True
20,0.5843346118927002,5,happy,True
20,0.7994740009307861,10,happy,True
0,2.2044060230255127,10,happy,False
